Review,Condition,Rating,Sentiment
I&#039;ve been on geodon for about three weeks now. So far no side effects but it&#039;s diffcult to take with 500 calorie meals. I&#039;m not much of a breakfast gal and find myself looking for food to take my medicine in the morning.,Schizophrenia,7.0,Neutral
"It was given to my 91 yr. old mother 3 times a day for the nerve damage in her feet.  The medicine relieved her pain, but she became very lethargic.  There were days when she she was so out of it she could not sit 5 minutes without falling asleep. She had swelling in her knees, hand tremors and was not able to communicate properly.  Only after I read about the side effects did I realize her condition was possibly because of the neurotin. The Dr.  changed it from 3 times to 2 times a day and in a matter of 2 days my mother was back to herself and her foot problem was much better.",Peripheral Neuropathy,7.0,Neutral
"Incredible.  I was on Adderall for over a year.  My doctor switched me to Vyvanse four days ago.  Since day one, I have felt better than ever.  That &quot;nervous-jittery feeling&quot; (perfect description) as well as anxiety and teeth-grinding that I had while on Adderall is totally gone.  I feel &quot;normal&quot;. I am able to concentrate and focus calmly, and am no longer plagued by excessive energy.  I feel healthy, and everyone around me has noticed the positive difference in such a short amount of time.",ADHD,10.0,Positive
11 weeks pregnant and took this for a sinus infection. 500mg for 3 days. Stomach pain that starts about an hour after taking and lasts for several hours. I have a rock iron stomach so no diarrhea but terrible gas!! Not fun stuff but when you&#039;re allergic to the --cillin family there&#039;s not much choice!,Chlamydia Infection,8.0,Positive
Impossible to open. Don&#039;t buy it.,Nasal Congestion,1.0,Negative
"I am only on Plaquenil a month now for primary Sjogren&#039;s Syndrome having been diagnosed in Jan 2014.  So far I am feeling much better in that I am sleeping so much better.  Before taking medication I would wake 5/6 times a night and found it difficult to go back to sleep now I only wake up once and go back almost immediately.  This is the
first thing that I have noticed and I know it is very early days as my Rheumatologist said it can take 2 months before any results.",Sjogren's Syndrome,8.0,Positive
"Overall, the Bentyl works really good but at times, the spasms get to be to much that I take a prescription pain pill along with the Bentyl. Works great.",Irritable Bowel Syndrome,7.0,Neutral
Followed instructions on package. Put it on before broke through. Didn&#039;t work any better then other products and cost 3 times as much.,Herpes Simplex,1.0,Negative
I&#039;ve been on it two years it has been wonderful for me the only downside is the tolerence I&#039;ve buliding up my doctor put me on Lunesta last night and I do not like it it did not work it makes me feel like garbage all day I want is to go back to my Ambien already!,Insomnia,9.0,Positive
"I have an itching around my nose, my nose, and forehead around the top of my eyes.",High Cholesterol,5.0,Neutral
"Chantix worked and I am sure I would have been a non smoker if I could have finished the treatment. Stomach pain, nausea, and screwy sleep. But, it did take the desire away. Fast forward eight years. Decided to look into what makes chantix work. Cytisine compounds. I ordered tabex (cytisine) from Bulgaria. Three days smoke free. No cravings or side effects! If one doesn&#039;t work, try the other. My problem was I could never get my mind set right about quitting. I&#039;d want to, but as soon as I tried... I let my thinking trick me back into smoking. Am doing really good on the tabex. Ps... Been smoking since 13. Turned 40 this year. Got tired of this battle. But needed help to let it go!",Smoking Cessation,7.0,Neutral
"I got Nexplanon implanted in August of 2015, and as of January 2016, I&#039;m getting it removed. The positive features were that it was 100% covered by my insurance and that it was effective contraception (my partner and I do not use condoms). After implantation, my period came about five weeks later and did not stop for around three months. I read that this can happen with Nexplanon, so I decided to wait it out, and the bleeding stopped completely after a little over three months later. Then, after only two or three weeks, the bleeding has started again just as strongly as before. My doctor has tried a low dose of estrogen and a regular routine of ibuprofen to see if the bleeding would stop, but neither worked.",Birth Control,2.0,Negative
"I switched to Gianvi from Aviane in hopes of clearing up my acne. I was VERY excited because Yaz is supposed to be a miracle. My experience was far from a miracle. My skin did not clear up AT ALL, and got worse. I&#039;m a freaking irrational hothead all month. I&#039;m usually very good at shrugging off the small stuff, but it&#039;s like I have absolutely no control over my emotions anymore. I&#039;ve become very lethargic; I could sleep all day if you&#039;d let me. My once raging sex drive is now hardly existent. On the bright side, it did work strictly as birth control (hence the 4 rating). I&#039;ve already made an appointment to switch.",Birth Control,4.0,Negative
"I have had the implant since September 2016 and whilst I acknowledge that it is one of, if not the most reliable methods of contraception, I am shocked at the changes it has imposed on my body. Since insertion, I have gained 2 stone with no changes in my diet or exercise and my mental health has been particularly bad. It goes without saying that everyone&#039;s body responds differently to contraceptives, but this has not worked for me.",Birth Control,4.0,Negative
"I had the implant placed after having my daughter.  While it was very effective in stopping pregnancy, I always ended up with numerous side effects.  I did not have a period the whole 2 1/2 years I had the implant and now a year after having it removed I&#039;ve only had two periods.  I starting gaining weight very quickly and have still yet to be able to lose the weight.  I also had mood swings, extreme headaches, and stomach cramps.  This was my experience and I know not everyone has the same issues but I thought I would share my experiences.",Birth Control,3.0,Negative
"I must really have a problem. I take it for singing at church. But need a much higher dose than most I see on here. When I am just singing with the Praise Team I take 60 mg, but when I sing a solo I take 100 mg to feel no symptoms of heart palpitations, feelign like my throat is going to close with no notes coming out. And im 5&#039;3 115 lbs female...started with 10mg and kept having to increase dosage until I felt symptoms gone during a performance.  Seriously dont know what I would do without this medication!!",mance Anxiety,9.0,Positive
"I have chronic Lyme disease and one of the worst things I suffer with is pain, EVERY DAY for the last 6 years. I have tried many things to help, both homeopathic and medicines prescribed by a doctor. 
I found a new doctor months ago who prescribed me Elavil. I&#039;m always a bit apprehensive about taking medicines even though I know I don&#039;t have much choice if I want my life back. So I agreed to try 10mg of Elavil at bedtime every night. 
I can&#039;t believe how much it has helped. After four days, I woke up pain free for the first time in 6 years and I actually had a good cry! It&#039;s been a miracle. 
I&#039;ve been far more active lately and am even aiming to get back to work again. I hope that other people with Lyme/chronic headaches see this and try it too.",Migraine Prevention,10.0,Positive
"I&#039;m 20 years old and this was my first experience with yeast infection. I usually do a review on something before buying /trying a product and man was a surprised last night. I used the 7 day miconazole and I. Was sooo mad. I never experienced an itch so intense, so irritating in my LIFE. I was literally screaming and kicking like a child it was terrible. I barely could sleep. I thought something was seriously wrong and called my mom. She said this was normal and something us women had to deal with. I went to work the next day I felt little to no itching which made me happy and I  though &quot;maybe I should give it a chance&quot; Anyway its going to be my second night out of seven I&#039;m wondering if I should go through with it but I need to end this.",Vaginal Yeast Infection,7.0,Neutral
"I just had an tooth extraction #13, was prescribed Tylenol 3 and it barely worked. I&#039;ve taken two within 6 hrs and nothing has happened. Instead I feel more pain and it&#039;s causing me a severe headache. Will go back to my oral surgeon to see if I can get something stronger. What a waste!!!",Pain,1.0,Negative
"Coming up on my 5 year anniversary so anastrozole evidently works.  However, after my last bone density test I find that my bones have thinned significantly and now have osteoporosis.  Have had other side effects, hot flashes, insomnia, joint pain, weight gain, thinning nails &amp; hair but didn&#039;t attribute anything other than hot flashes to the anastrozole.  To prevent cancer I can live with most of those but if I had known how fast my bones were thinning I don&#039;t know if I would have stayed with it.",Breast Cance,6.0,Neutral
